nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves,,,
Pregunta P9.4.5 ¿Quién o quiénes saben que usted se considera (RESPUESTA DE 9.1)? - Otro familiar,1,C,p9_4_5,p9_4_5,"1,2,9",,,
Pregunta P9.4.6 ¿Quién o quiénes saben que usted se considera (RESPUESTA DE 9.1)? - Amiga(o),1,C,p9_4_6,p9_4_6,"1,2,9",,,
"Pregunta P9.4.7 ¿Quién o quiénes saben que usted se considera (RESPUESTA DE 9.1)? - Un especialista de la salud (psicólogo, médico, enfermera)",1,C,p9_4_7,p9_4_7,"1,2,9",,,
Pregunta P9.4.8 ¿Quién o quiénes saben que usted se considera (RESPUESTA DE 9.1)? - Otro no familiar,1,C,p9_4_8,p9_4_8,"1,2,9",,,
Pregunta P9.4.9 ¿Quién o quiénes saben que usted se considera (RESPUESTA DE 9.1)? - Nadie,1,C,p9_4_9,p9_4_9,"1,2,9",,,
"Pregunta P9.5.1 Cuando sus padres se enteraron que usted se considera (RESPUESTA DE 9.1), ¿alguno de ellos le aceptó, respetó o respaldó?",1,C,p9_5_1,p9_5_1,"1,2",,,
"Pregunta P9.5.2 Cuando sus padres se enteraron que usted se considera (RESPUESTA DE 9.1), ¿alguno de ellos le obligó a asistir con un psicólogo, médico, autoridad religiosa u otra persona o institución con el fin de corregirle?",1,C,p9_5_2,p9_5_2,"1,2",,,
"Pregunta P9.5.3 Cuando sus padres se enteraron que usted se considera (RESPUESTA DE 9.1), ¿alguno de ellos se molestó con usted, le agredió u ofendió, le dejó de hablar o corrió de su casa?",1,C,p9_5_3,p9_5_3,"1,2",,,
Pregunta P9.6 ¿A qué edad comenzó a cambiar su forma de ser o actuar como (RESPUESTA DE 9.1)?,2,C,p9_6,p9_6,"00...50,98,99",,,
Pregunta P9.7 ¿Usted ha usado implantes o se ha realizado alguna cirugía o tratamiento hormonal para transformar su cuerpo?,1,C,p9_7,p9_7,"1,2,9",,,
Pregunta P9.8 ¿Sabía que existe la posibilidad de modificar documentos oficiales acorde con considerarse hombre o mujer?,1,C,p9_8,p9_8,"1,2,9",,,
"Pregunta P9.9 En los últimos 12 meses, de agosto de 2020 a la fecha, ¿ha sufrido discriminación o menosprecio por considerarse (RESPUESTA DE 9.1)?",1,C,p9_9,p9_9,"1,2,9",,,
"Pregunta P9.10 Debido a que su género es distinto a su sexo de nacimiento,...",1,C,p9_10,p9_10,"1,2",,,
Pregunta P9.10A ¿Cuál es su género?,160,C,p9_10a,,"A...Z,0...9",,,
"Pregunta P10.1.1 En los últimos 12 meses, de agosto de 2020 a la fecha, ¿ha tenido insomnio?",1,C,p10_1_1,p10_1_1,"1,2",,,
"Pregunta P10.1.2 En los últimos 12 meses, de agosto de 2020 a la fecha, ¿ha tenido estrés?",1,C,p10_1_2,p10_1_2,"1,2",,,
"Pregunta P10.1.3 En los últimos 12 meses, de agosto de 2020 a la fecha, ¿ha tenido depresión?",1,C,p10_1_3,p10_1_3,"1,2",,,
"Pregunta P10.1.4 En los últimos 12 meses, de agosto de 2020 a la fecha, ¿ha tenido pérdida o aumento de apetito o peso?",1,C,p10_1_4,p10_1_4,"1,2",,,
"Pregunta P10.1.5 En los últimos 12 meses, de agosto de 2020 a la fecha, ¿ha tenido angustia, miedo o ansiedad?",1,C,p10_1_5,p10_1_5,"1,2",,,
Pregunta P10.2 ¿Alguna vez ha pensado en suicidarse?,1,C,p10_2,p10_2,"1,2",,,
Pregunta P10.3 ¿Alguna vez intentó hacerlo?,1,C,p10_3,p10_3,"1,2",,,
Pregunta FILTRO.10.4 Filtro 10.4,1,C,filtro_10_4,filtro_10_4,"1,2",,,
Pregunta P10.4.1 ¿Esto se debió principalmente a problemas económicos?,1,C,p10_4_1,p10_4_1,"1,2",,,
Pregunta P10.4.2 ¿Esto se debió principalmente a problemas familiares o de pareja?,1,C,p10_4_2,p10_4_2,"1,2",,,
Pregunta P10.4.3 ¿Esto se debió principalmente a problemas de salud?,1,C,p10_4_3,p10_4_3,"1,2",,,
Pregunta P10.4.4 ¿Esto se debió principalmente a problemas en la escuela?,1,C,p10_4_4,p10_4_4,"1,2",,,
Pregunta P10.4.5 ¿Esto se debió principalmente a problemas en el trabajo?,1,C,p10_4_5,p10_4_5,"1,2",,,
Pregunta P10.4.6 ¿Esto se debió principalmente a problemas debido a su orientación?,1,C,p10_4_6,p10_4_6,"1,2,9",,,
Pregunta P10.4.7 ¿Esto se debió principalmente a problemas debido a su género?,1,C,p10_4_7,p10_4_7,"1,2,9",,,
Pregunta P10.4.8 ¿Esto se debió principalmente a otra?,1,C,p10_4_8,p10_4_8,"1,2",,,
Pregunta FILTRO.10.5 Población de la diversidad sexual y de género,1,C,filtro_10_5,filtro_10_5,"1,2",,,
"Pregunta P10.5.1 Debido a su orientación o a su género, ¿ha buscado atención endocrinológica?",1,C,p10_5_1,p10_5_1,"1,2,9",,,
"Pregunta P10.5.2 Debido a su orientación o a su género, ¿ha buscado atención psicológica?",1,C,p10_5_2,p10_5_2,"1,2,9",,,
"Pregunta P10.5.3 Debido a su orientación o a su género, ¿ha buscado atención psiquiátrica?",1,C,p10_5_3,p10_5_3,"1,2,9",,,
"Pregunta P10.5.4 Debido a su orientación o a su género, ¿ha buscado atención médica de otro tipo?",1,C,p10_5_4,p10_5_4,"1,2,9",,,
"Pregunta P10.5.5 Debido a su orientación o a su género, ¿ha buscado atención de una organización en defensa de los derechos humanos?",1,C,p10_5_5,p10_5_5,"1,2,9",,,
"Pregunta P10.5.6 Debido a su orientación o a su género, ¿ha buscado atención? - OTRA",1,C,p10_5_6,p10_5_6,"1,2,9",,,
"Pregunta P10.5.7 Debido a su orientación o a su género, ¿ha buscado atención? - NINGÚN TIPO DE ATENCIÓN",1,C,p10_5_7,p10_5_7,"1,2,9",,,
Pregunta P10.6.1 El resultado de la atención fue: Le sugirieron curar o cambiar su condición,1,C,p10_6_1,p10_6_1,"1,2",,,
Pregunta P10.6.2 El resultado de la atención fue: Obtuvo información poco apropiada,1,C,p10_6_2,p10_6_2,"1,2",,,
Pregunta P10.6.3 El resultado de la atención fue: Le brindaron la información o asesoría que buscaba,1,C,p10_6_3,p10_6_3,"1,2",,,
Pregunta P10.6.4 El resultado de la atención fue: Le negaron el servicio,1,C,p10_6_4,p10_6_4,"1,2",,,
Pregunta P11.1.1 ¿Alguna vez en su vida le han amenazado o atacado sexualmente?,1,C,p11_1_1,p11_1_1,"1,2",,,
"Pregunta P11.2.1.1 De las siguientes personas, ¿quién o quiénes le han amenazado o atacado sexualmente? - PRIMER CÓDIGO",2,C,p11_2_1_1,p11_2_1_1,"01...10,99",,,
"Pregunta P11.2.1.2 De las siguientes personas, ¿quién o quiénes le han amenazado o atacado sexualmente? - SEGUNDO CÓDIGO",2,C,p11_2_1_2,p11_2_1_2,"01...10,99",,,
"Pregunta P11.2.1.3 De las siguientes personas, ¿quién o quiénes le han amenazado o atacado sexualmente? - TERCER CÓDIGO",2,C,p11_2_1_3,p11_2_1_3,"01...10,99",,,
Pregunta P11.1.2 ¿Alguna vez en su vida le han molestado haciéndole propuestas para tener relaciones sexuales a cambio de un pago?,1,C,p11_1_2,p11_1_2,"1,2",,,
"Pregunta P11.2.2.1 De las siguientes personas, ¿quién o quiénes le han molestado haciéndole propuestas para tener relaciones sexuales a cambio de un pago? - PRIMER CÓDIGO",2,C,p11_2_2_1,p11_2_2_1,01...10,,,
"Pregunta P11.2.2.2 De las siguientes personas, ¿quién o quiénes le han molestado haciéndole propuestas para tener relaciones sexuales a cambio de un pago? - SEGUNDO CÓDIGO",2,C,p11_2_2_2,p11_2_2_2,01...10,,,
"Pregunta P11.2.2.3 De las siguientes personas, ¿quién o quiénes le han molestado haciéndole propuestas para tener relaciones sexuales a cambio de un pago? - TERCER CÓDIGO",2,C,p11_2_2_3,p11_2_2_3,01...10,,,
Pregunta P11.1.3 ¿Alguna vez en su vida le han obligado a tener relaciones sexuales?,1,C,p11_1_3,p11_1_3,"1,2",,,
"Pregunta P11.2.3.1 De las siguientes personas, ¿quién o quiénes le han obligado a tener relaciones sexuales? - PRIMER CÓDIGO",2,C,p11_2_3_1,p11_2_3_1,"01...10,99",,,
"Pregunta P11.2.3.2 De las siguientes personas, ¿quién o quiénes le han obligado a tener relaciones sexuales? - SEGUNDO CÓDIGO",2,C,p11_2_3_2,p11_2_3_2,"01...10,99",,,
"Pregunta P11.2.3.3 De las siguientes personas, ¿quién o quiénes le han obligado a tener relaciones sexuales? - TERCER CÓDIGO",2,C,p11_2_3_3,p11_2_3_3,"01...10,99",,,
"Pregunta P11.1.4 ¿Alguna vez en su vida le han humillado, avergonzado o le han dicho groserías?",1,C,p11_1_4,p11_1_4,"1,2",,,
"Pregunta P11.2.4.1 De las siguientes personas, ¿quién o quiénes le han humillado, avergonzado o le han dicho groserías? - PRIMER CÓDIGO",2,C,p11_2_4_1,p11_2_4_1,01...10,,,
"Pregunta P11.2.4.2 De las siguientes personas, ¿quién o quiénes le han humillado, avergonzado o le han dicho groserías? - SEGUNDO CÓDIGO",2,C,p11_2_4_2,p11_2_4_2,01...10,,,
"Pregunta P11.2.4.3 De las siguientes personas, ¿quién o quiénes le han humillado, avergonzado o le han dicho groserías? - TERCER CÓDIGO",2,C,p11_2_4_3,p11_2_4_3,01...10,,,
Pregunta P11.1.5 ¿Alguna vez en su vida le han enviado mensajes ofensivos?,1,C,p11_1_5,p11_1_5,"1,2",,,
"Pregunta P11.2.5.1 De las siguientes personas, ¿quién o quiénes le han enviado mensajes ofensivos? - PRIMER CÓDIGO",2,C,p11_2_5_1,p11_2_5_1,01...10,,,
"Pregunta P11.2.5.2 De las siguientes personas, ¿quién o quiénes le han enviado mensajes ofensivos? - SEGUNDO CÓDIGO",2,C,p11_2_5_2,p11_2_5_2,01...10,,,
"Pregunta P11.2.5.3 De las siguientes personas, ¿quién o quiénes le han enviado mensajes ofensivos? - TERCER CÓDIGO",2,C,p11_2_5_3,p11_2_5_3,01...10,,,
Pregunta P11.1.6 ¿Alguna vez en su vida le han tocado o manoseado sin su consentimiento?,1,C,p11_1_6,p11_1_6,"1,2",,,
"Pregunta P11.2.6.1 De las siguientes personas, ¿quién o quiénes le han tocado o manoseado sin su consentimiento? - PRIMER CÓDIGO",2,C,p11_2_6_1,p11_2_6_1,"01...10,99",,,
"Pregunta P11.2.6.2 De las siguientes personas, ¿quién o quiénes le han tocado o manoseado sin su consentimiento? - SEGUNDO CÓDIGO",2,C,p11_2_6_2,p11_2_6_2,"01...10,99",,,
"Pregunta P11.2.6.3 De las siguientes personas, ¿quién o quiénes le han tocado o manoseado sin su consentimiento? - TERCER CÓDIGO",2,C,p11_2_6_3,p11_2_6_3,"01...10,99",,,
"Pregunta P11.3 Durante los últimos 12 meses, de agosto de 2020 a la fecha, ¿trabajó por un salario, pago o ganancia?",1,C,p11_3,p11_3,"1,2",,,
"Pregunta P11.4.1 Durante los últimos 12 meses, de agosto de 2020 a la fecha, ¿en el trabajo recibió comentarios ofensivos o burlas?",1,C,p11_4_1,p11_4_1,1...3,,,
"Pregunta P11.4.2 Durante los últimos 12 meses, de agosto de 2020 a la fecha, ¿en el trabajo le excluyeron de eventos o actividades sociales?",1,C,p11_4_2,p11_4_2,1...3,,,
"Pregunta P11.4.3 Durante los últimos 12 meses, de agosto de 2020 a la fecha, ¿en el trabajo le molestaron o acosaron?",1,C,p11_4_3,p11_4_3,1...3,,,
"Pregunta P11.4.4 Durante los últimos 12 meses, de agosto de 2020 a la fecha, ¿en el trabajo recibió un trato desigual respecto a los beneficios, prestaciones laborales o ascensos?",1,C,p11_4_4,p11_4_4,1...3,,,
"Pregunta P11.4.5 Durante los últimos 12 meses, de agosto de 2020 a la fecha, ¿en el trabajo le pegaron, agredieron o amenazaron?",1,C,p11_4_5,p11_4_5,1...3,,,
"Pregunta P11.5.1 En los últimos cinco años, de agosto de 2016 a la fecha, ¿le han negado injustificadamente la atención médica o medicamentos?",1,C,p11_5_1,p11_5_1,"1...3,9",,,
"Pregunta P11.5.2 En los últimos cinco años, de agosto de 2016 a la fecha, ¿le han negado injustificadamente la atención o servicios en alguna oficina de gobierno?",1,C,p11_5_2,p11_5_2,"1...3,9",,,
"Pregunta P11.5.3 En los últimos cinco años, de agosto de 2016 a la fecha, ¿le han negado injustificadamente la entrada o permanencia en algún negocio, centro comercial o banco?",1,C,p11_5_3,p11_5_3,"1...3,9",,,
